Country,Year,AvgTemp_Country,co2,co2_per_capita
Sri Lanka,1989,27.07692592592592,3.42,0.21
Nicaragua,2011,27.437,4.789,0.823
Zambia,1974,20.39584375,4.197,0.867
Zambia,2007,21.390130434782613,2.298,0.183
Honduras,1960,24.1311,0.615,0.298
Taiwan,1987,22.205724999999997,90.519,4.522
Taiwan,1999,22.476316666666662,208.023,9.369
Bolivia,1991,12.235916666666665,10.506,1.443
Guinea,1972,25.796166666666668,0.832,0.188
Ireland,1977,9.348583333333332,23.565,7.189
Ireland,1983,9.818,25.725,7.355
Ireland,1989,10.100750000000001,30.061,8.562
Ireland,1999,10.223958333333334,42.44,11.309
Senegal,2013,26.572765625000002,7.853,0.573
Latvia,2008,7.750416666666666,8.198,3.765
Qatar,1998,28.479583333333334,36.96,63.665
Albania,1966,16.000666666666664,2.55,1.307
Tajikistan,1999,10.195041666666667,2.519,0.406
Kenya,2008,20.772624999999998,10.099,0.258
Guatemala,1999,19.444583333333327,8.874,0.777
